food_name,proteins,fats,carbohydrates,kilocalories,type_of_food
bacon,33.92,35.09,1.7,468,meat
beef,20.2,2.8,75.9,106,meat
chicken,18.2,18.4,0,238,meat
duck,18.99,28.35,0,337,meat
ham,22.6,20.9,0,279,meat
pork,19.4,7.1,0,142,meat
sausage,11,23.9,0.4,261,meat
cod,16,0.6,0,69,meat
sardines,17.9,19.7,0,249,meat
grouper,18.2,3.3,0,103,meat
trout,19.1,3.5,0,142,meat
avocado,2,20,7.4,200,fruit_vegetable
beans,26.12,1.53,33.29,341,fruit_vegetable
broccoli,3.3,0.2,5.7,43,fruit_vegetable
cabbage,1.8,0.1,4.7,28,fruit_vegetable
carrot, 0.93,0.24,6.78,41,fruit_vegetable
cucumber,0.8,0.1,2.5,14,fruit_vegetable
onion,1.4,0.2,8.2,41,fruit_vegetable
pea_fresh,5,0.2,8.3,81,fruit_vegetable
pea_grain,20,2,67,360,grains_nuts
potato,2,0.4,16.3,77,fruit_vegetable
almond,22,51,20,578,grains_nuts
banana,1.5,0.5,21,96,fruit_vegetable
blackberry,1.5,0.5,4.4,34,fruit_vegetable
cherry,0.8,0.2,10.6,52,fruit_vegetable
grapefruit,0.7,0.2,6.5,35,fruit_vegetable
lemon,0.9,0.1,3,34,fruit_vegetable
melon,0.6,0.3,7.4,35,fruit_vegetable
lime,0.7,0.2,7.74,30,fruit_vegetable
orange,0.9,0.2,8.1,43,fruit_vegetable
strawberry,0.79,0.37,6.16,34,fruit_vegetable
watermelon,0.7,0.1,5.8,27,fruit_vegetable
buckwheat,12.6,3.3,57.1,308,grains_nuts
grain,11.5,1.3,67.9,329,grains_nuts
lentil,24.63,1.06,52.65,352,grains_nuts
barley,10.3,2.4,56.4,288,grains_nuts
wheat,13,2.5,57.5,304,grains_nuts
butter,0.8,72.5,1.3,661,dairy
cheese,23.2,29.5,0,364,dairy
cream,4,15,19,226,dairy
eggs,12.7,11.5,0.7,157,meat
ice_cream,3.7,15,20.4,232,dairy
kefir,2.9,3.2,4,59,dairy
milk,2.9,2.5,4.8,54,dairy
sour_cream,2.5,20,3.4,206,dairy
yogurt,4.1,1.5,5.9,57,dairy
biscuit,7.5,9.8,74.4,417,bakery_and_sweets
cake_assort,4.7,14.9,36.1,294,bakery_and_sweets
snickers,8,25.6,56,500,bakery_and_sweets
twix,4.1,24.2,64.8,497,bakery_and_sweets
cupcake,7.2,17.5,38.5,340.8,bakery_and_sweets
honey,0.8,80,1.2,328,bakery_and_sweets
waffle,8,14,33,291,bakery_and_sweets
coffee,13.9,14.4,4.1,200.6,drunk
juice,0.41,0.008,12,51,drunk
lemonade,0,0,11.5,45,drunk
tea,0,0,0,1,drunk
bread,8.85,3.33,46.72,266,bakery_and_sweets
tomato,1.1,0.2,3.8,24,fruit_vegetable
cottage_cheese,17,5,1.8,120,dairy
cutlet,14.1,15.7,6.6,222.5,meat
pizza,9.7,25.7,12.9,321.6,bakery_and_sweets